WBID,Name,Flow_Regim,Notice,Flow_Durat,Site_Visit,WetDry_Map,Water_Watc,GIS_Imager,Modeled,Historical,Other,WSHED,Length_Mi,Webpage,FR_Text,Shape__Len
AZ15050301-560,Cox Gulch,P,"Data used in flow regime assignment are shown with a ""Yes"" beside it",No,No,No,No,No,Yes,No,No,SC,2.25245882136,www.azdeq.gov/flowregimes,Perennial,3624.98833938
AZ15030202-005B,Boulder Creek,P,"Data used in flow regime assignment are shown with a ""Yes"" beside it",No,No,No,No,No,Yes,No,No,BW,1.41849023729,www.azdeq.gov/flowregimes,Perennial,2282.84331813
AZ15060101-032,Fish Creek,P,"Data used in flow regime assignment are shown with a ""Yes"" beside it",No,Yes,No,No,No,Yes,No,No,SR,13.8459856584,www.azdeq.gov/flowregimes,Perennial,22282.9985094
AZ15020002-645,Bluff Spring,P,"Data used in flow regime assignment are shown with a ""Yes"" beside it",No,No,No,No,No,Yes,No,No,LC,0.0554257849322,www.azdeq.gov/flowregimes,Perennial,89.1993328246
AZ15040005-991A,Deadman Canyon Creek,P,"Data used in flow regime assignment are shown with a ""Yes"" beside it",No,No,No,No,No,Yes,No,No,UG,4.04963443048,www.azdeq.gov/flowregimes,Perennial,6517.26790743
AZ15060101-345,Colonel Spring,P,"Data used in flow regime assignment are shown with a ""Yes"" beside it",No,No,No,No,No,Yes,No,No,SR,0.0616319048216,www.azdeq.gov/flowregimes,Perennial,99.1871346075
AZ15060103-014,Canyon Creek,I,"Data used in flow regime assignment are shown with a ""Yes"" beside it",No,No,No,No,Yes,No,Yes,No,SR,8.03832512345,www.azdeq.gov/flowregimes,Intermittent,12936.4561804
AZ15060101-319,Black River North Fork East Fork,P,"Data used in flow regime assignment are shown with a ""Yes"" beside it",Yes,Yes,No,No,No,Yes,Yes,No,SR,15.6674148623,www.azdeq.gov/flowregimes,Perennial,25214.3105328
AZ15060102-165-I,Cienega Creek,P,"Data used in flow regime assignment are shown with a ""Yes"" beside it",No,No,No,No,No,No,Yes,No,SR,1.14529633491,www.azdeq.gov/flowregimes,Perennial,1843.17947117
AZ15020001-237,Butler Canyon,P,"Data used in flow regime assignment are shown with a ""Yes"" beside it",No,No,No,No,No,Yes,No,No,LC,2.0896002178,www.azdeq.gov/flowregimes,Perennial,3362.8922987
AZ15050202-406A,Carr Canyon Creek,P,"Data used in flow regime assignment are shown with a ""Yes"" beside it",No,Yes,No,No,No,No,No,No,SP,3.94866127928,www.azdeq.gov/flowregimes,Perennial,6354.76704738
AZ15060203-607,Fossil Springs,I,"Data used in flow regime assignment are shown with a ""Yes"" beside it",No,No,No,No,No,Yes,Yes,No,VR,0.0523690433822,www.azdeq.gov/flowregimes,Intermittent,84.2799743129
AZ15030104-008,Colorado River,P,"Data used in flow regime assignment are shown with a ""Yes"" beside it",Yes,No,No,No,No,Yes,No,No,CL,22.5412891094,www.azdeq.gov/flowregimes,Perennial,36276.7609341
AZ14080204-023,Canyon del Muerto,P,"Data used in flow regime assignment are shown with a ""Yes"" beside it",No,Yes,No,No,No,Yes,Yes,No,LC,16.039430675,www.azdeq.gov/flowregimes,Perennial,25813.0131463
AZ15060203-480,Cold Spring,P,"Data used in flow regime assignment are shown with a ""Yes"" beside it",No,No,No,No,No,Yes,No,No,VR,0.0723125963261,www.azdeq.gov/flowregimes,Perennial,116.376075774
AZ15040004-474,Ash Creek,I,"Data used in flow regime assignment are shown with a ""Yes"" beside it",No,No,No,No,No,Yes,Yes,No,UG,3.87938859816,www.azdeq.gov/flowregimes,Intermittent,6243.28325068
AZ15040004-025B,Blue River,P,"Data used in flow regime assignment are shown with a ""Yes"" beside it",Yes,Yes,No,No,No,Yes,Yes,No,UG,25.3546432111,www.azdeq.gov/flowregimes,Perennial,40804.4245328
AZ15060101-006,Black River,P,"Data used in flow regime assignment are shown with a ""Yes"" beside it",No,No,No,No,No,Yes,Yes,No,SR,5.5759457276,www.azdeq.gov/flowregimes,Perennial,8973.6327483
AZ15040006-862,Cima Creek,I,"Data used in flow regime assignment are shown with a ""Yes"" beside it",No,Yes,No,No,No,Yes,No,No,UG,3.10701348033,www.azdeq.gov/flowregimes,Intermittent,5000.26350302
AZ15030104-020,Colorado River,P,"Data used in flow regime assignment are shown with a ""Yes"" beside it",Yes,No,No,No,No,Yes,No,No,CL,13.3214483126,www.azdeq.gov/flowregimes,Perennial,21438.8357909
AZ15060105-019,Del Shay Creek,I,"Data used in flow regime assignment are shown with a ""Yes"" beside it",No,Yes,No,No,No,Yes,Yes,No,SR,5.12742272628,www.azdeq.gov/flowregimes,Intermittent,8251.8035036
AZ15030201-003,Big Sandy River,P,"Data used in flow regime assignment are shown with a ""Yes"" beside it",No,Yes,No,No,No,Yes,Yes,No,BW,4.15015301697,www.azdeq.gov/flowregimes,Perennial,6679.03721502
AZ15060101-011-I,Big Bonito Creek,P,"Data used in flow regime assignment are shown with a ""Yes"" beside it",No,No,No,No,No,No,Yes,No,SR,8.35707656151,www.azdeq.gov/flowregimes,Perennial,13449.4379207
AZ15060203-022B,East Verde River,P,"Data used in flow regime assignment are shown with a ""Yes"" beside it",No,No,No,No,No,Yes,No,No,VR,20.1636546044,www.azdeq.gov/flowregimes,Perennial,32450.3214562
AZ15060102-146-I,Coon Creek,P,"Data used in flow regime assignment are shown with a ""Yes"" beside it",No,No,No,No,No,No,Yes,No,SR,2.21328569451,www.azdeq.gov/flowregimes,Perennial,3561.94517663
AZ15030202-004,Burro Creek,P,"Data used in flow regime assignment are shown with a ""Yes"" beside it",Yes,No,No,No,No,Yes,Yes,No,BW,16.4720869247,www.azdeq.gov/flowregimes,Perennial,26509.3072784
AZ15030202-006B,Boulder Creek,I,"Data used in flow regime assignment are shown with a ""Yes"" beside it",No,No,No,No,No,Yes,Yes,No,BW,14.3848196736,www.azdeq.gov/flowregimes,Intermittent,23150.1695331
AZ15010001-002,Colorado River,P,"Data used in flow regime assignment are shown with a ""Yes"" beside it",Yes,No,No,No,No,Yes,No,No,CG,27.2360344417,www.azdeq.gov/flowregimes,Perennial,43832.236277
AZ15060101-048-I,Black River West Fork,P,"Data used in flow regime assignment are shown with a ""Yes"" beside it",No,No,No,No,No,No,Yes,No,SR,4.12824704099,www.azdeq.gov/flowregimes,Perennial,6643.78289351
AZ15060101-356,Centerfire Creek,I,"Data used in flow regime assignment are shown with a ""Yes"" beside it",No,No,No,No,No,Yes,Yes,No,SR,8.74879056244,www.azdeq.gov/flowregimes,Intermittent,14079.8417586
